state,district,population,density,urban_percent,area_km2,rural_percent,urban_population,rural_population
Delhi,Central Delhi,582320,30863,100.0,25,0.0,582320,0
Delhi,North Delhi,887978,29998,100.0,60,0.0,887978,0
Delhi,South Delhi,2731929,9034,100.0,250,0.0,2731929,0
Maharashtra,Mumbai,12442373,20482,100.0,603,0.0,12442373,0
Maharashtra,Pune,9429408,603,58.3,15643,41.7,5497344,3932063
Maharashtra,Nagpur,4653570,472,77.3,9851,22.700000000000003,3597209,1056360
Gujarat,Ahmedabad,7214225,896,82.6,8056,17.400000000000006,5958949,1255275
Gujarat,Surat,6081322,1462,87.9,4161,12.099999999999994,5345482,735839
Gujarat,Vadodara,4165626,566,76.1,7360,23.900000000000006,3170041,995584
Tamil Nadu,Chennai,4681087,26903,100.0,174,0.0,4681087,0
Tamil Nadu,Coimbatore,3458045,466,75.1,7422,24.900000000000006,2596991,861053
Tamil Nadu,Madurai,3038252,756,59.7,4018,40.3,1813836,1224415
Karnataka,Bangalore,9621551,4378,87.5,2196,12.5,8418857,1202693
Karnataka,Mysore,3001127,457,33.8,6566,66.2,1014380,1986746
Karnataka,Hubli,1959286,365,60.4,5370,39.6,1183408,775877
